name, input-1, output-1, input-2, output-2, input-3, output-3, input-4, output-4, input-5, output-5, input-6, output-6, input-7, output-7, input-8, output-8, input-9, output-9, code
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
fibonacci, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 5, 8, 6, 13, 7, 21, 8, 34, 9, 55, def F(n): if n == 0: return 0; elif n == 1: return 1; else: return F(n-1)+F(n-2)
